name,price,category
Помидоры круглые Global Village тепличные красные 600 г,"Цена со скидкой за 1 шт.169,99 ₽","Овощи, фрукты, зелень, орехи"
Закуска Венгерская Global Village 480 г,"Цена со скидкой за 1 шт.109,99 ₽","Овощи, фрукты, зелень, орехи"
Киви 250 г,"Цена со скидкой за 1 шт.179,99 ₽","Овощи, фрукты, зелень, орехи"
Сливы темные круглые,"Цена за 1 кг150,00 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Джинн жареные 140 г,"94,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста брокколи Красная цена быстрозамороженная 700 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Хашбраун картофельный Зимняя Радуга жареный замороженный...,"249,99 ₽","Овощи, фрукты, зелень, орехи"
Салатный микс Аликанте 100 г,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Бабкины семечки жареные 100 г,"Цена со скидкой за 1 шт.32,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры Trattoria di Maestro Turatti протертые соленые 500...,"139,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры красные Global Village Сливовидные 600 г,"Цена со скидкой за 1 шт.199,99 ₽","Овощи, фрукты, зелень, орехи"
Перец микс,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Global Village Selection Пикули хрустящие...,"Цена со скидкой за 1 шт.184,99 ₽","Овощи, фрукты, зелень, орехи"
Авокадо Израиль,"Цена за 1 кг200,00 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Традиции вкуса соленые 350 г,"139,99 ₽","Овощи, фрукты, зелень, орехи"
Финики Mixbar 200 г,"84,99 ₽","Овощи, фрукты, зелень, орехи"
Набор для приготовления Морозко Гавайская замороженная 400 г,"102,99 ₽","Овощи, фрукты, зелень, орехи"
Изюм Красная цена 100 г,"38,99 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны Global Village целые натуральные стерилизованные...,"Цена со скидкой за 1 шт.104,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Global Village Selection По-немецки 670 г,"Цена со скидкой за 1 шт.194,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Mixbar жареные очищенные с морской...,"43,99 ₽","Овощи, фрукты, зелень, орехи"
Айва,"Цена со скидкой за 1 кг100,00 ₽","Овощи, фрукты, зелень, орехи"
Перец халапеньо Global Village Selection зеленый резаный...,"Цена со скидкой за 1 шт.119,99 ₽","Овощи, фрукты, зелень, орехи"
Салатная смесь Белая Дача Босфор 130 г,"Цена со скидкой за 1 шт.139,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста квашеная Традиции вкуса с морковью 250 г,"89,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры черри Медовые оранжевые на ветке 200 г,"259,99 ₽","Овощи, фрукты, зелень, орехи"
Малина сублимированная Ого! кусочки 25 г,"Цена со скидкой за 1 шт.230,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Кримм пастеризованный шарики 500 г,"Цена со скидкой за 1 шт.89,99 ₽","Овощи, фрукты, зелень, орехи"
Авокадо Хасс 1 шт,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина Отборные жареные 200 г,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
